(0L, 0L, 2406L, 2586L)
(5L, 5L, 53L, 87L)
(5L, 5L, 286L, 281L)
(5L, 280L, 41L, 346L)
(5L, 373L, 57L, 601L)
(5L, 602L, 115L, 825L)
(5L, 979L, 104L, 1099L)
(5L, 1098L, 99L, 1199L)
(5L, 1159L, 96L, 1328L)
(5L, 1319L, 53L, 1337L)
(5L, 1336L, 45L, 1364L)
(5L, 1364L, 45L, 1420L)
(5L, 1416L, 43L, 1453L)
(5L, 1454L, 41L, 1526L)
(5L, 1526L, 32L, 1624L)
(5L, 1624L, 33L, 1697L)
(5L, 1697L, 35L, 1729L)
(5L, 1729L, 40L, 1827L)
(5L, 1820L, 100L, 1953L)
(5L, 1944L, 63L, 2026L)
(5L, 2078L, 54L, 2128L)
(5L, 2128L, 48L, 2170L)
(5L, 2170L, 51L, 2237L)
(5L, 2237L, 77L, 2335L)
(5L, 2300L, 163L, 2439L)
(5L, 2440L, 84L, 2581L)
(7L, 849L, 117L, 981L)
(7L, 2026L, 55L, 2077L)
(9L, 346L, 44L, 379L)
(9L, 822L, 110L, 853L)
(17L, 495L, 208L, 613L)
(21L, 2129L, 111L, 2203L)
(32L, 1526L, 85L, 1621L)
(32L, 2388L, 173L, 2545L)
(33L, 276L, 61L, 380L)
(33L, 1617L, 101L, 1693L)
(34L, 1691L, 101L, 1753L)
(35L, 1454L, 85L, 1526L)
(36L, 2206L, 70L, 2237L)
(36L, 2226L, 95L, 2287L)
(40L, 1752L, 101L, 1822L)
(41L, 780L, 110L, 825L)
(42L, 1425L, 92L, 1455L)
(44L, 1366L, 88L, 1430L)
(45L, 605L, 118L, 663L)
(46L, 1328L, 90L, 1366L)
(49L, 404L, 144L, 498L)
(50L, 372L, 145L, 440L)
(52L, 2175L, 105L, 2224L)
(53L, 2078L, 169L, 2151L)
(55L, 2023L, 111L, 2078L)
(57L, 1973L, 87L, 2024L)
(60L, 263L, 143L, 379L)
(63L, 1909L, 164L, 1995L)
(72L, 2198L, 129L, 2253L)
(72L, 2277L, 143L, 2340L)
(74L, 1823L, 176L, 1921L)
(74L, 2498L, 157L, 2581L)
(78L, 2254L, 113L, 2287L)
(80L, 1367L, 157L, 1450L)
(82L, 1524L, 168L, 1615L)
(84L, 1979L, 136L, 2023L)
(85L, 1449L, 170L, 1525L)
(86L, 1615L, 164L, 1690L)
(89L, 1329L, 153L, 1369L)
(90L, 1213L, 180L, 1330L)
(90L, 2152L, 129L, 2194L)
(94L, 1142L, 182L, 1226L)
(99L, 1101L, 183L, 1144L)
(99L, 2227L, 147L, 2274L)
(101L, 973L, 188L, 1102L)
(101L, 1690L, 162L, 1823L)
(104L, 2022L, 161L, 2079L)
(105L, 2341L, 174L, 2420L)
(106L, 2177L, 151L, 2224L)
(107L, 856L, 193L, 984L)
(108L, 1590L, 165L, 1618L)
(109L, 782L, 201L, 859L)
(111L, 611L, 205L, 781L)
(111L, 781L, 179L, 826L)
(114L, 2247L, 161L, 2288L)
(115L, 2107L, 196L, 2184L)
(124L, 1877L, 264L, 2021L)
(129L, 2265L, 179L, 2313L)
(130L, 1323L, 175L, 1341L)
(130L, 2206L, 173L, 2246L)
(130L, 2546L, 203L, 2581L)
(134L, 1989L, 186L, 2022L)
(135L, 448L, 213L, 510L)
(138L, 250L, 342L, 371L)
(142L, 229L, 231L, 259L)
(143L, 368L, 250L, 451L)
(145L, 2140L, 226L, 2224L)
(146L, 2262L, 222L, 2332L)
(150L, 1386L, 175L, 1448L)
(150L, 2018L, 219L, 2105L)
(150L, 2226L, 206L, 2281L)
(153L, 1341L, 176L, 1385L)
(156L, 5L, 243L, 77L)
(159L, 1724L, 237L, 1876L)
(161L, 1387L, 253L, 1524L)
(161L, 2487L, 373L, 2581L)
(162L, 1689L, 234L, 1731L)
(163L, 1619L, 235L, 1690L)
(164L, 2281L, 272L, 2347L)
(166L, 1555L, 237L, 1621L)
(167L, 1523L, 238L, 1578L)
(171L, 2086L, 220L, 2139L)
(172L, 2346L, 273L, 2487L)
(174L, 1325L, 246L, 1387L)
(175L, 2174L, 254L, 2261L)
(176L, 1237L, 251L, 1326L)
(177L, 1145L, 253L, 1247L)
(180L, 1856L, 258L, 1951L)
(182L, 1104L, 254L, 1146L)
(184L, 985L, 257L, 1105L)
(187L, 9L, 415L, 259L)
(188L, 857L, 327L, 990L)
(196L, 784L, 324L, 877L)
(198L, 1999L, 337L, 2124L)
(199L, 721L, 263L, 789L)
(199L, 2113L, 285L, 2172L)
(203L, 698L, 264L, 724L)
(204L, 615L, 265L, 699L)
(206L, 509L, 246L, 533L)
(206L, 588L, 244L, 616L)
(208L, 561L, 245L, 589L)
(209L, 534L, 246L, 561L)
(210L, 448L, 347L, 513L)
(212L, 2213L, 276L, 2280L)
(219L, 299L, 378L, 463L)
(226L, 2235L, 323L, 2331L)
(228L, 2129L, 334L, 2234L)
(229L, 1808L, 327L, 1898L)
(231L, 1758L, 320L, 1840L)
(232L, 1692L, 316L, 1758L)
(232L, 1899L, 335L, 1998L)
(235L, 1623L, 315L, 1694L)
(236L, 1525L, 317L, 1624L)
(237L, 1466L, 317L, 1526L)
(239L, 1523L, 281L, 1546L)
(242L, 1390L, 318L, 1429L)
(244L, 555L, 294L, 620L)
(246L, 511L, 289L, 541L)
(246L, 535L, 283L, 562L)
(246L, 563L, 271L, 587L)
(246L, 1328L, 318L, 1390L)
(247L, 1253L, 319L, 1329L)
(249L, 1147L, 321L, 1262L)
(250L, 1427L, 317L, 1467L)
(253L, 1106L, 322L, 1148L)
(254L, 988L, 323L, 1106L)
(261L, 1874L, 372L, 1948L)
(262L, 5L, 364L, 71L)
(263L, 700L, 326L, 793L)
(264L, 619L, 328L, 701L)
(266L, 198L, 363L, 290L)
(269L, 2480L, 385L, 2534L)
(270L, 2347L, 381L, 2443L)
(270L, 2444L, 381L, 2486L)
(273L, 1949L, 395L, 2078L)
(273L, 2291L, 366L, 2348L)
(279L, 2189L, 381L, 2290L)
(283L, 513L, 333L, 544L)
(284L, 540L, 332L, 564L)
(286L, 2083L, 387L, 2182L)
(293L, 564L, 331L, 624L)
(314L, 1389L, 428L, 1470L)
(315L, 1695L, 417L, 1797L)
(316L, 1331L, 370L, 1391L)
(316L, 1522L, 422L, 1628L)
(316L, 1626L, 420L, 1696L)
(317L, 1466L, 424L, 1523L)
(318L, 789L, 440L, 841L)
(319L, 1150L, 436L, 1263L)
(319L, 1260L, 374L, 1330L)
(320L, 1774L, 432L, 1880L)
(321L, 1106L, 436L, 1150L)
(322L, 987L, 438L, 1106L)
(323L, 703L, 370L, 789L)
(323L, 830L, 439L, 989L)
(327L, 630L, 375L, 704L)
(328L, 2247L, 393L, 2348L)
(329L, 516L, 501L, 662L)
(334L, 467L, 396L, 518L)
(335L, 2145L, 434L, 2241L)
(338L, 2008L, 455L, 2137L)
(341L, 1841L, 447L, 1923L)
(341L, 1924L, 424L, 2006L)
(343L, 198L, 580L, 404L)
(348L, 417L, 431L, 472L)
(352L, 321L, 448L, 419L)
(352L, 2479L, 704L, 2581L)
(361L, 5L, 710L, 205L)
(366L, 704L, 443L, 791L)
(368L, 1330L, 430L, 1394L)
(371L, 644L, 447L, 706L)
(371L, 1257L, 431L, 1331L)
(373L, 463L, 426L, 521L)
(376L, 1893L, 422L, 1955L)
(381L, 2348L, 543L, 2495L)
(382L, 2197L, 565L, 2398L)
(388L, 1990L, 611L, 2192L)
(397L, 1981L, 457L, 2042L)
(407L, 1697L, 546L, 1861L)
(412L, 1862L, 501L, 1980L)
(418L, 1630L, 511L, 1699L)
(421L, 1524L, 513L, 1631L)
(424L, 1395L, 511L, 1527L)
(426L, 468L, 533L, 535L)
(428L, 424L, 544L, 482L)
(429L, 1300L, 500L, 1396L)
(430L, 1919L, 531L, 2050L)
(431L, 1247L, 502L, 1301L)
(431L, 2022L, 486L, 2077L)
(432L, 351L, 561L, 446L)
(433L, 1153L, 565L, 1252L)
(435L, 2112L, 624L, 2324L)
(437L, 1060L, 470L, 1152L)
(438L, 835L, 564L, 992L)
(438L, 989L, 473L, 1060L)
(441L, 663L, 579L, 801L)
(441L, 794L, 570L, 909L)
(451L, 534L, 578L, 683L)
(455L, 1804L, 544L, 1916L)
(468L, 1060L, 566L, 1160L)
(472L, 991L, 565L, 1063L)
(473L, 1960L, 547L, 2015L)
(495L, 1397L, 649L, 1530L)
(498L, 1240L, 623L, 1400L)
(501L, 2327L, 619L, 2451L)
(502L, 1880L, 578L, 1951L)
(511L, 1529L, 551L, 1633L)
(511L, 1633L, 549L, 1700L)
(515L, 400L, 762L, 555L)
(529L, 2437L, 781L, 2574L)
(532L, 1912L, 610L, 1989L)
(535L, 118L, 580L, 208L)
(540L, 2048L, 673L, 2133L)
(543L, 1792L, 609L, 1910L)
(544L, 1766L, 671L, 1800L)
(547L, 1700L, 676L, 1783L)
(548L, 1634L, 616L, 1701L)
(550L, 1530L, 680L, 1638L)
(557L, 931L, 797L, 1013L)
(563L, 211L, 704L, 408L)
(564L, 804L, 699L, 934L)
(564L, 914L, 664L, 965L)
(564L, 1950L, 654L, 2043L)
(565L, 1000L, 644L, 1164L)
(565L, 1161L, 659L, 1244L)
(566L, 2165L, 880L, 2349L)
(571L, 686L, 647L, 809L)
(577L, 109L, 707L, 146L)
(577L, 140L, 714L, 210L)
(577L, 543L, 729L, 696L)
(580L, 1792L, 677L, 1944L)
(603L, 2131L, 647L, 2187L)
(611L, 1908L, 699L, 2003L)
(612L, 2003L, 689L, 2066L)
(615L, 1611L, 679L, 1702L)
(615L, 2346L, 791L, 2469L)
(617L, 201L, 713L, 342L)
(620L, 1385L, 649L, 1402L)
(621L, 1243L, 658L, 1384L)
(621L, 1402L, 649L, 1451L)
(633L, 1006L, 746L, 1170L)
(638L, 693L, 826L, 878L)
(640L, 2132L, 739L, 2188L)
(649L, 1386L, 683L, 1403L)
(649L, 1403L, 682L, 1531L)
(650L, 1245L, 686L, 1385L)
(653L, 1167L, 687L, 1244L)
(654L, 2067L, 747L, 2137L)
(661L, 935L, 722L, 960L)
(661L, 1836L, 785L, 1954L)
(670L, 1783L, 738L, 1861L)
(671L, 871L, 738L, 953L)
(672L, 1827L, 739L, 1893L)
(674L, 1614L, 788L, 1705L)
(674L, 1704L, 740L, 1785L)
(679L, 1171L, 779L, 1254L)
(679L, 1531L, 789L, 1616L)
(680L, 2001L, 782L, 2066L)
(681L, 1387L, 793L, 1533L)
(683L, 1255L, 788L, 1388L)
(690L, 1136L, 792L, 1175L)
(690L, 1242L, 891L, 1412L)
(693L, 1952L, 783L, 2002L)
(695L, 332L, 768L, 410L)
(702L, 1079L, 792L, 1145L)
(708L, 5L, 947L, 203L)
(709L, 134L, 783L, 197L)
(709L, 194L, 782L, 333L)
(710L, 403L, 898L, 517L)
(715L, 2481L, 840L, 2581L)
(716L, 548L, 813L, 706L)
(716L, 873L, 825L, 970L)
(729L, 1005L, 794L, 1088L)
(730L, 2066L, 880L, 2197L)
(737L, 1786L, 786L, 1839L)
(738L, 1705L, 787L, 1786L)
(756L, 472L, 898L, 557L)
(760L, 195L, 901L, 418L)
(766L, 1176L, 895L, 1249L)
(777L, 553L, 898L, 611L)
(777L, 2467L, 839L, 2517L)
(783L, 2002L, 881L, 2066L)
(784L, 1787L, 883L, 1954L)
(784L, 1952L, 881L, 2002L)
(786L, 1707L, 882L, 1788L)
(788L, 1408L, 886L, 1537L)
(788L, 1617L, 882L, 1707L)
(789L, 1534L, 886L, 1620L)
(790L, 1131L, 898L, 1180L)
(790L, 2349L, 841L, 2400L)
(791L, 2400L, 839L, 2432L)
(791L, 2433L, 827L, 2466L)
(792L, 1037L, 844L, 1090L)
(792L, 1090L, 897L, 1135L)
(793L, 1005L, 826L, 1037L)
(795L, 971L, 832L, 1006L)
(799L, 897L, 840L, 975L)
(803L, 595L, 898L, 648L)
(811L, 648L, 898L, 709L)
(815L, 2469L, 909L, 2581L)
(817L, 709L, 867L, 784L)
(821L, 2432L, 858L, 2472L)
(823L, 782L, 845L, 840L)
(824L, 783L, 898L, 890L)
(825L, 1006L, 898L, 1041L)
(826L, 887L, 898L, 916L)
(829L, 976L, 899L, 1008L)
(834L, 2400L, 871L, 2434L)
(835L, 943L, 899L, 985L)
(837L, 917L, 899L, 944L)
(839L, 2349L, 880L, 2402L)
(843L, 1040L, 897L, 1097L)
(848L, 710L, 898L, 786L)
(848L, 2547L, 909L, 2581L)
(853L, 2403L, 910L, 2470L)
(875L, 2347L, 1020L, 2410L)
(880L, 2066L, 944L, 2118L)
(881L, 1790L, 970L, 1823L)
(881L, 1815L, 914L, 1845L)
(881L, 2118L, 934L, 2176L)
(881L, 2176L, 918L, 2233L)
(881L, 2234L, 914L, 2348L)
(882L, 1846L, 969L, 1885L)
(882L, 1886L, 968L, 1953L)
(882L, 1953L, 968L, 2002L)
(882L, 2002L, 956L, 2066L)
(883L, 1620L, 1003L, 1711L)
(883L, 1706L, 1003L, 1769L)
(883L, 1769L, 935L, 1791L)
(884L, 1537L, 1004L, 1623L)
(886L, 1251L, 1031L, 1414L)
(886L, 1412L, 1015L, 1510L)
(886L, 1507L, 1003L, 1556L)
(891L, 1247L, 963L, 1293L)
(893L, 1219L, 958L, 1248L)
(894L, 201L, 1006L, 423L)
(895L, 1180L, 961L, 1219L)
(896L, 890L, 953L, 944L)
(897L, 462L, 1007L, 554L)
(897L, 554L, 952L, 648L)
(897L, 1102L, 1010L, 1183L)
(898L, 421L, 1007L, 465L)
(898L, 649L, 952L, 709L)
(898L, 710L, 953L, 790L)
(898L, 788L, 953L, 889L)
(898L, 941L, 952L, 984L)
(898L, 1008L, 1018L, 1129L)
(900L, 984L, 952L, 1009L)
(909L, 2231L, 1021L, 2348L)
(910L, 2410L, 950L, 2470L)
(910L, 2469L, 1018L, 2581L)
(910L, 2547L, 945L, 2581L)
(914L, 1815L, 969L, 1853L)
(915L, 2176L, 1021L, 2232L)
(922L, 2118L, 1018L, 2179L)
(936L, 5L, 1003L, 51L)
(936L, 1768L, 1002L, 1793L)
(938L, 52L, 1003L, 98L)
(940L, 99L, 1004L, 205L)
(940L, 2058L, 1018L, 2118L)
(946L, 2548L, 981L, 2581L)
(948L, 2000L, 969L, 2057L)
(950L, 1385L, 1017L, 1444L)
(951L, 2410L, 1019L, 2470L)
(952L, 553L, 1012L, 709L)
(952L, 944L, 1014L, 983L)
(953L, 710L, 1019L, 795L)
(953L, 793L, 970L, 890L)
(953L, 891L, 1017L, 943L)
(953L, 982L, 1020L, 1011L)
(958L, 1221L, 1026L, 1252L)
(959L, 1182L, 1007L, 1220L)
(961L, 2041L, 1016L, 2065L)
(966L, 794L, 1020L, 895L)
(968L, 1822L, 1005L, 1856L)
(968L, 1857L, 1020L, 1909L)
(969L, 1905L, 1026L, 1953L)
(969L, 1953L, 1024L, 2000L)
(969L, 2000L, 1016L, 2042L)
(971L, 1793L, 1001L, 1824L)
(998L, 5L, 1087L, 54L)
(1000L, 412L, 1155L, 554L)
(1000L, 1793L, 1032L, 1827L)
(1002L, 1512L, 1081L, 1559L)
(1002L, 1624L, 1118L, 1715L)
(1002L, 1712L, 1118L, 1797L)
